Datetime,Power
2025-04-01 00:00,0.0
2025-04-01 00:15,0.0
2025-04-01 00:30,0.0
2025-04-01 00:45,0.0
2025-04-01 01:00,0.0
2025-04-01 01:15,0.0
2025-04-01 01:30,0.0
2025-04-01 01:45,0.0
2025-04-01 02:00,0.0
2025-04-01 02:15,0.0
2025-04-01 02:30,0.0
2025-04-01 02:45,0.0
2025-04-01 03:00,0.0
2025-04-01 03:15,0.0
2025-04-01 03:30,0.0
2025-04-01 03:45,0.0
2025-04-01 04:00,0.0
2025-04-01 04:15,0.0
2025-04-01 04:30,0.0
2025-04-01 04:45,0.0
2025-04-01 05:00,0.0
2025-04-01 05:15,0.0
2025-04-01 05:30,0.0
2025-04-01 05:45,0.0
2025-04-01 06:00,0.0
2025-04-01 06:15,0.0
2025-04-01 06:30,0.0
2025-04-01 06:45,2276.8
2025-04-01 07:00,4891.6
2025-04-01 07:15,6997.5
2025-04-01 07:30,9270.0
2025-04-01 07:45,12844.0
2025-04-01 08:00,15445.4
2025-04-01 08:15,18215.9
2025-04-01 08:30,20486.5
2025-04-01 08:45,22672.4
2025-04-01 09:00,25072.5
2025-04-01 09:15,27485.3
2025-04-01 09:30,30100.7
2025-04-01 09:45,29829.3
2025-04-01 10:00,31539.3
2025-04-01 10:15,31232.4
2025-04-01 10:30,32551.0
2025-04-01 10:45,35933.1
2025-04-01 11:00,34528.6
2025-04-01 11:15,34363.1
2025-04-01 11:30,33863.1
2025-04-01 11:45,36248.1
2025-04-01 12:00,36924.5
2025-04-01 12:15,34474.8
2025-04-01 12:30,35070.4
2025-04-01 12:45,36320.1
2025-04-01 13:00,35829.6
2025-04-01 13:15,33210.6
2025-04-01 13:30,33607.6
2025-04-01 13:45,34617.8
2025-04-01 14:00,33481.8
2025-04-01 14:15,35666.7
2025-04-01 14:30,34282.8
2025-04-01 14:45,32262.3
2025-04-01 15:00,32917.6
2025-04-01 15:15,31310.3
2025-04-01 15:30,30443.3
2025-04-01 15:45,29187.1
2025-04-01 16:00,28275.9
2025-04-01 16:15,27673.9
2025-04-01 16:30,25232.0
2025-04-01 16:45,22762.7
2025-04-01 17:00,20648.5
2025-04-01 17:15,17873.0
2025-04-01 17:30,15406.6
2025-04-01 17:45,12415.1
2025-04-01 18:00,10240.0
2025-04-01 18:15,7062.9
2025-04-01 18:30,4767.2
2025-04-01 18:45,2271.7
2025-04-01 19:00,0.0
2025-04-01 19:15,0.0
2025-04-01 19:30,0.0
2025-04-01 19:45,0.0
2025-04-01 20:00,0.0
2025-04-01 20:15,0.0
2025-04-01 20:30,0.0
2025-04-01 20:45,0.0
2025-04-01 21:00,0.0
2025-04-01 21:15,0.0
2025-04-01 21:30,0.0
2025-04-01 21:45,0.0
2025-04-01 22:00,0.0
2025-04-01 22:15,0.0
2025-04-01 22:30,0.0
2025-04-01 22:45,0.0
2025-04-01 23:00,0.0
2025-04-01 23:15,0.0
2025-04-01 23:30,0.0
2025-04-01 23:45,0.0
